Date,EPS 
2016-12-31,-0.84
2016-9-30,0.17
2016-6-30,0.15
2016-3-31,0.03
2015-12-31,0.25
2015-9-30,-0.04
2015-6-30,0.01
2015-3-31,0.19
2014-12-31,0.17
2014-9-30,0.22
2014-6-30,0.22
2014-3-31,0.23
2013-12-31,0.24
2013-9-30,0.22
2013-6-30,0.21
2013-3-31,0.23
2012-12-31,0.26
2012-9-30,0.21
2012-6-30,0.22
2012-3-31,0.19
2011-12-31,0.27
2011-9-30,0.22
2011-6-30,0.22
2011-3-31,0.19
2010-12-31,0.11
2010-9-30,0.17
2010-6-30,0.16
2010-3-31,-0.04
2009-12-31,0.2
2009-9-30,0.14
2009-6-30,0.16
2009-3-31,0.05
2008-12-31,0.0
2008-9-30,0.29
2008-6-30,0.24
2008-3-31,-0.27
2007-12-31,0.4
2007-9-30,0.27
2007-6-30,0.28
2007-3-31,0.24
2006-12-31,0.22
2006-9-30,0.54
2006-6-30,0.26
2006-3-31,0.2
2005-12-31,0.28
2005-9-30,0.05
2005-6-30,0.4
2005-3-31,0.2
2004-12-31,0.23
2004-9-30,0.17
